case_id,case_name,year,domain,jurisdiction,access_level,outcome,plaintiff_type,representation,outcome_type,algorithm_type,notes,legal_citation,docket_number,primary_source_url,secondary_source_url,verification_status,last_verified
CJ-17,Geofence Warrant Cases,2022,Criminal Justice,US-Federal,Partial,Achieved,individual,public_interest,policy_change,unknown,Courts limiting warrant scope,,Multiple Courts,https://www.eff.org/issues/location-tracking-and-geofence-warrants,,Verified,2025-01-27
CJ-18,Peppermill Casino Facial Recognition,2024,Criminal Justice,US-NV,Partial,Achieved,individual,private_counsel,monetary,machine_learning,Jason Killinger wrongful arrest; Peppermill settled May 2024; officer suit pending,Killinger v. Jager,3:25-cv-00388 (D. Nev.),https://www.casino.org/news/peppermill-renos-facial-recognition-tech-leads-to-wrongful-arrest/,https://thisisreno.com/2025/11/peppermill-casino-ai-misidentification/,Verified,2025-01-27
CJ-19,NYPD Facial Recognition (Williams),2025,Criminal Justice,US-NY,None,Ongoing,individual,public_interest,pending,machine_learning,Trevis Williams wrongful arrest; 8 inches taller than suspect,,NY Federal Court,https://www.stopspying.org/latest-news/2025/9/4/he-nypds-false-facial-recognition-arrest,https://abc7ny.com/post/man-falsely-jailed-nypds-facial-recognition-surveillance-tech-failed/17664671/,Verified,2025-01-27
CJ-20,Buenos Aires Facial Recognition,2023,Criminal Justice,Argentina,Partial,Achieved,nonprofit,public_interest,system_discontinued,machine_learning,Ruled unconstitutional,,Argentine Court,https://www.accessnow.org/press-release/buenos-aires-facial-recognition/,,Verified,2025-01-27
CJ-21,UK Bridges v. South Wales Police,2020,Criminal Justice,UK,Partial,Achieved,individual,public_interest,policy_change,machine_learning,Court of Appeal ruling,R (Bridges) v. CC South Wales Police,[2020] EWCA Civ 1058,https://www.judiciary.uk/wp-content/uploads/2020/08/R-Bridges-v-CC-South-Wales-ors-Judgment.pdf,https://www.libertyhumanrights.org.uk/issue/legal-challenge-ed-bridges-v-south-wales-police/,Verified,2025-01-27
CJ-22,Ewert v. Canada,2018,Criminal Justice,Canada,Full,Achieved,individual,public_interest,system_modified,statistical_model,Supreme Court; validation required for Indigenous offenders,Ewert v. Canada,2018 SCC 30,https://scc-csc.ca/case-dossier/info/sum-som-eng.aspx?cas=37233,https://www.cbc.ca/news/politics/ewert-supreme-court-indigenous-bias-1.4703884,Verified,2025-01-27
CJ-23,TrueAllele DNA (New Jersey),2020,Criminal Justice,US-NJ,Full,Achieved,individual,public_defender,policy_change,statistical_model,First DNA algorithm source code disclosure,,NJ Superior Court,https://www.propublica.org/article/this-software-analyzed-a-crime-scene-photo-attorneys-demanded-to-see-how,,Verified,2025-01-27
CJ-24,People v. Wakefield (NY),2024,Criminal Justice,US-NY,Full,Achieved,individual,public_defender,policy_change,statistical_model,FST DNA algorithm disclosed,,NY Court,https://www.nytimes.com/2024/03/12/nyregion/new-york-dna-testing-fst.html,,Verified,2025-01-27
CJ-25,People v. Hardy (IL),2023,Criminal Justice,US-IL,Full,Achieved,individual,public_defender,policy_change,machine_learning,ShotSpotter evidence reviewed,,IL Court,https://www.macarthurjustice.org/case/people-v-hardy/,,Verified,2025-01-27
CJ-26,Chicago Strategic Subject List,2020,Criminal Justice,US-IL,Partial,Achieved,nonprofit,public_interest,system_discontinued,statistical_model,FOIA led to audit; program ended,,FOIA/Audit,https://www.rand.org/pubs/research_reports/RR3242.html,https://www.chicagotribune.com/news/criminal-justice/ct-chicago-police-strategic-subject-list-ended-20200127-xbqwbamzpvb4nk5ifz4vtrmapu-story.html,Verified,2025-01-27
CJ-27,CalGang Database,2020,Criminal Justice,US-CA,Partial,Achieved,state_AG,government,system_modified,statistical_model,12K+ records purged after audit,,CA DOJ Audit,https://oag.ca.gov/calgang,,Verified,2025-01-27
CJ-28,Arnold Foundation PSA,2020,Criminal Justice,US-Federal,Partial,Achieved,academic,academic,system_modified,statistical_model,Validation led to modifications,,Research,https://advancingpretrial.org/psa/,,Verified,2025-01-27
CJ-29,New Orleans Pretrial Algorithm,2018,Criminal Justice,US-LA,Partial,Achieved,nonprofit,public_interest,system_discontinued,statistical_model,Algorithm suspended,,City Policy,https://www.themarshallproject.org/2020/02/25/a-computer-was-going-to-determine-if-i-went-to-jail,,Verified,2025-01-27
CJ-31,Crutchfield v. City of Detroit,2025,Criminal Justice,US-MI,None,Ongoing,individual,public_interest,pending,machine_learning,Fourth known Detroit FRT wrongful arrest; 37-year-old Black mother arrested for attempted murder in front of children Jan 2024 based on facial recognition; Detroit denies using FRT but database search identified her; pattern of systemic FRT misuse,Crutchfield v. City of Detroit,E.D. Mich.,https://www.detroitnews.com/story/news/local/detroit-city/2025/02/18/detroit-woman-sues-over-wrongful-arrest-says-facial-recognition-misidentified-her/79141896007/,https://www.michiganpublic.org/,Verified,2025-12-27
CJ-32,Dillon v. Jacksonville Beach PD,2025,Criminal Justice,US-FL,None,Ongoing,individual,private_counsel,pending,machine_learning,Robert Dillon wrongfully arrested Aug 2024 for child luring 300+ miles away; FACES system using Idemia algorithms returned 93% match; charges dropped; arrest expunged; first known white FRT wrongful arrest victim; planning lawsuit,,FL State (anticipated),https://gulfcoastnews.com/,https://www.actionnewsjax.com/news/,Verified,2025-12-27
GOV-01,Robodebt (Australia),2023,Government Benefits,Australia,Full,Achieved,private_class,public_interest,monetary,rule_based,Royal Commission; $1.8B settlement,,Royal Commission,https://robodebt.royalcommission.gov.au/,https://robodebt.royalcommission.gov.au/publications/report,Verified,2025-01-27
GOV-02,Bauserman v. Michigan UIA,2024,Government Benefits,US-MI,Full,Achieved,private_class,public_interest,monetary,rule_based,MiDAS fraud detection; $20M settlement,,MI Settlement,https://www.michigan.gov/ag/news/press-releases/2023/08/28/ag-nessel-reaches-settlement-in-midas-unemployment-fraud-case,,Verified,2025-01-27
GOV-03,Cahoo v. SAS Analytics,2024,Government Benefits,US-MI,Partial,Ongoing,private_class,private_counsel,pending,rule_based,MiDAS vendors; 6th Circuit reversed qualified immunity 2023,Cahoo v. SAS Analytics Inc.,2:17-cv-10657 (E.D. Mich.),https://law.justia.com/cases/federal/appellate-courts/ca6/18-1296/18-1296-2019-01-03.html,https://www.btah.org/case-study/michigan-unemployment-insurance-false-fraud-determinations.html,Verified,2025-01-27
GOV-04,K.W. v. Armstrong (Idaho),2016,Government Benefits,US-ID,Full,Achieved,private_class,public_interest,policy_change,rule_based,Medicaid; formula disclosed,K.W. v. Armstrong,9th Circuit,https://scholar.google.com/scholar_case?case=11093566868485266944,,Verified,2025-01-27
GOV-05,Ledgerwood v. Arkansas DHS,2019,Government Benefits,US-AR,Full,Achieved,private_class,public_interest,system_modified,rule_based,ARChoices; algorithm changed,,AR Federal Court,https://www.nytimes.com/2018/03/20/business/economy/arkansas-medicaid-algorithm.html,,Verified,2025-01-27
GOV-06,Allegheny County (DOJ),2023,Government Benefits,US-PA,Partial,Ongoing,federal_agency,government,pending,machine_learning,Child welfare algorithm; DOJ investigation,,DOJ Investigation,https://apnews.com/article/child-welfare-algorithm-bias-pennsylvania-4f61c4c44a354af59bf58dd70f3e68f3,,Verified,2025-01-27
GOV-07,Oregon Child Welfare,2022,Government Benefits,US-OR,Full,Achieved,nonprofit,public_interest,system_discontinued,machine_learning,System discontinued,,State Policy,https://www.oregonlive.com/politics/2022/06/oregon-drops-tool-that-promised-to-help-child-abuse-screening-workers.html,,Verified,2025-01-27
GOV-08,Indiana Welfare Automation,2012,Government Benefits,US-IN,None,Denied,private_class,private_counsel,none,rule_based,Administrative challenge failed,,IN Courts,https://www.indystar.com/story/news/politics/2018/11/19/indiana-ibm-battle-over-billion-dollar-welfare-automation-contract/2048009002/,,Verified,2025-01-27
GOV-10,Texas Medicaid Algorithm,2024,Government Benefits,US-TX,Partial,Ongoing,nonprofit,public_interest,pending,statistical_model,FTC complaint against Deloitte TIERS; ADA complaint filed,,FTC/ADA Complaint,https://www.texastribune.org/2024/01/31/texas-medicaid-federal-trade-commission-deloitte/,https://disabilityrightstx.org/en/press_release/texas-medicaid-complaint/,Verified,2025-01-27
GOV-11,California EDD Fraud Detection,2021,Government Benefits,US-CA,None,Achieved,private_class,private_counsel,policy_change,rule_based,Mass lockouts reversed,,CA State,https://www.latimes.com/california/story/2021-01-29/california-unemployment-fraud-bank-america-edd,,Verified,2025-01-27
GOV-14,UK Universal Credit,2019,Government Benefits,UK,Partial,Achieved,nonprofit,public_interest,policy_change,rule_based,R (Johnson) v SSWP: algorithm found unlawful for wage calculation,R (Johnson) v SSWP,[2019] EWHC 23 (Admin),https://leighday.co.uk/News/2019/January-2019/High-Court-finds-DWP-unlawful-on-universal-credit,https://www.hrw.org/report/2020/09/29/automated-hardship/how-tech-driven-overhaul-uks-social-security-system-worsens,Verified,2025-01-27
GOV-15,Dutch Childcare Benefits,2021,Government Benefits,Netherlands,Full,Achieved,private_class,public_interest,monetary,statistical_model,Government resigned over scandal,,Parliamentary Inquiry,https://en.wikipedia.org/wiki/Dutch_childcare_benefits_scandal,https://www.amnesty.org/en/latest/news/2021/10/xenophobic-machines-dutch-child-benefit-scandal/,Verified,2025-01-27
GOV-16,Missouri Medicaid Cuts,2024,Government Benefits,US-MO,Partial,Ongoing,private_class,public_interest,pending,statistical_model,Algorithm-based HCBS reduction; 18% may lose services,,MO State,https://missouriindependent.com/2024/10/02/missourians-with-disabilities-and-seniors-could-lose-at-home-care-under-new-eligibility-algorithm/,,Verified,2025-01-27
GOV-17,Netherlands SyRI,2020,Government Benefits,Netherlands,Full,Achieved,nonprofit,public_interest,system_discontinued,statistical_model,ECHR Article 8; system banned,NJCM v. Netherlands,ECLI:NL:RBDHA:2020:1878,https://www.loc.gov/item/global-legal-monitor/2020-03-13/netherlands-court-prohibits-governments-use-of-ai-software-to-detect-welfare-fraud/,https://epic.org/dutch-court-rules-secret-welfare-algorithm-violates-human-rights/,Verified,2025-01-27
GOV-18,Poland Unemployment Algorithm,2019,Government Benefits,Poland,Partial,Achieved,nonprofit,public_interest,system_discontinued,statistical_model,System abolished by Constitutional Tribunal,,Polish Courts,https://panoptykon.org/decision-polish-constitutional-tribunal,,Verified,2025-01-27
GOV-19,Austria AMS Algorithm,2020,Government Benefits,Austria,Partial,Achieved,federal_agency,government,system_discontinued,statistical_model,Data protection authority ban upheld,,Austrian DPA,https://algorithmwatch.org/en/austrian-ams-algorithm/,,Verified,2025-01-27
GOV-20,UK Visa Streaming (JCWI),2020,Government Benefits,UK,Partial,Achieved,nonprofit,public_interest,system_discontinued,machine_learning,Discrimination found; system withdrawn,R (JCWI) v. SSHD,UK High Court,https://www.jcwi.org.uk/news/home-office-to-scrap-visa-streaming-algorithm-after-our-legal-challenge,,Verified,2025-01-27
GOV-21,Kenya Huduma Namba,2021,Government Benefits,Kenya,Partial,Achieved,nonprofit,public_interest,policy_change,unknown,Safeguards required by court,Nubian Rights Forum v. AG,Kenyan High Court,https://www.accessnow.org/press-release/kenya-court-ruling-digital-id/,,Verified,2025-01-27
GOV-22,India Aadhaar,2018,Government Benefits,India,None,Denied,nonprofit,public_interest,none,unknown,Supreme Court upheld system with some limits,Puttaswamy v. Union of India,(2019) 1 SCC 1,https://main.sci.gov.in/supremecourt/2012/35071/35071_2012_Judgement_26-Sep-2018.pdf,,Verified,2025-01-27
GOV-23,Indiana v. IBM,2024,Government Benefits,US-IN,Full,Achieved,state_AG,government,monetary,rule_based,$78M judgment for welfare automation failures,Indiana v. IBM,IN Supreme Court,https://www.reuters.com/article/us-ibm-indiana-lawsuit-idUSKBN1AI1TZ/,,Verified,2025-01-27
GOV-24,UK Ofqual A-Levels,2020,Government Benefits,UK,Full,Achieved,private_class,public_interest,system_discontinued,statistical_model,Algorithm abandoned after protests,,UK Policy,https://www.bbc.com/news/education-53787203,,Verified,2025-01-27
GOV-25,LA County Bridgespan/DCFS,2019,Government Benefits,US-CA,Partial,Achieved,nonprofit,public_interest,system_discontinued,machine_learning,Child welfare algorithm suspended,,County Policy,https://www.wired.com/story/los-angeles-dcfs-predictive-policing/,,Verified,2025-01-27
GOV-26,UK DWP Algorithms,2019,Government Benefits,UK,Partial,Ongoing,nonprofit,public_interest,pending,machine_learning,Multiple ongoing challenges related to Universal Credit,,UK Courts,https://www.bigbrotherwatch.org.uk/campaigns/universal-credit/,https://committees.parliament.uk/writtenevidence/131474/html/,Verified,2025-01-27
GOV-27,France Pole Emploi,2020,Government Benefits,France,Partial,Achieved,nonprofit,public_interest,policy_change,machine_learning,Disclosure ordered by La Quadrature du Net,,French Court,https://www.laquadrature.net/en/2022/01/11/pole-emploi-forced-to-disclose-its-algorithm/,,Verified,2025-01-27
GOV-28,Serbia Social Benefits,2022,Government Benefits,Serbia,None,Ongoing,nonprofit,public_interest,pending,machine_learning,A11 Initiative Constitutional Court challenge filed April 2022; Social Card registry (World Bank-funded) introduced automation; 23K+ people removed from benefits; Roma and disabled disproportionately affected; Amnesty 'Trapped by Automation' report Dec 2023,A11 Initiative v. Serbia,Constitutional Court (April 2022),https://www.amnesty.org/en/latest/research/2023/12/trapped-by-automation-poverty-and-discrimination-in-serbias-welfare-state/,https://a11initiative.org/,Verified,2025-12-27
GOV-29,South Africa SASSA,2018,Government Benefits,South Africa,Partial,Achieved,nonprofit,public_interest,policy_change,unknown,Grant reinstatement,Black Sash v. Minister,SA Constitutional Court,http://www.saflii.org/za/cases/ZACC/2017/20.html,,Verified,2025-01-27
GOV-30,Ryan S. v. UnitedHealth Group,2024,Government Benefits,US-Federal,Partial,Ongoing,private_class,private_counsel,pending,machine_learning,9th Circuit reversed district court dismissal of class action against UnitedHealth for systematic denial of mental health and substance use disorder treatment claims; case to be decided on merits,,9th Circuit,https://www.agg.com/news-insights/publications/ninth-circuit-reverses-dismissal-of-class-action-against-unitedhealthcare/,,Verified,2025-12-27
CRD-01,CFPB v. Upstart,2022,Credit,US-Federal,Full,Achieved,federal_agency,government,system_modified,machine_learning,Fair lending; model changes required; NAL terminated,,CFPB NAL,https://www.consumerfinance.gov/about-us/newsroom/cfpb-announces-first-no-action-letter-upstart-network/,https://www.consumerfinance.gov/about-us/newsroom/cfpb-issues-order-to-terminate-upstart-no-action-letter/,Verified,2025-01-27
CRD-02,CFPB v. Citibank,2023,Credit,US-Federal,Full,Achieved,federal_agency,government,monetary,rule_based,$25.9M; Armenian surname discrimination,,CFPB Enforcement,https://www.consumerfinance.gov/about-us/newsroom/prepared-remarks-of-cfpb-director-rohit-chopra-on-press-call-for-cfpbs-enforcement-action-against-citi-for-illegal-discrimination-targeting-armenian-americans/,https://www.americanbanker.com/news/citi-will-pay-26m-to-settle-cfpb-claims-of-bias-against-armenian-americans,Verified,2025-01-27
CRD-03,CFPB v. Credit Acceptance,2023,Credit,US-Federal,Partial,Ongoing,federal_agency,government,pending,statistical_model,Predatory auto lending,,CFPB Enforcement,https://www.consumerfinance.gov/enforcement/actions/credit-acceptance-corporation/,,Verified,2025-01-27
CRD-04,CFPB v. Experian,2025,Credit,US-Federal,Partial,Ongoing,federal_agency,government,pending,rule_based,Sham dispute investigations,,CFPB Enforcement,https://www.consumerfinance.gov/enforcement/actions/experian-information-solutions-inc/,,Verified,2025-01-27
CRD-05,Apple Card (NY DFS),2021,Credit,US-NY,Partial,Achieved,state_AG,government,policy_change,machine_learning,Goldman policy changes,,NY DFS Investigation,https://www.dfs.ny.gov/reports_and_publications/press_releases/pr202103241,,Verified,2025-01-27
CRD-06,Zest AI Fair Lending,2021,Credit,US-Federal,Full,Achieved,federal_agency,government,policy_change,machine_learning,CFPB no-action letter,,CFPB NAL,https://www.zest.ai/resources/zest-ai-receives-no-action-letter-from-cfpb,,Verified,2025-01-27
CRD-07,TX AG v. GM/LexisNexis,2024,Credit,US-TX,Partial,Ongoing,state_AG,government,pending,machine_learning,Telematics data; 1.8M Texans,,TX AG,https://www.texasattorneygeneral.gov/news/releases/attorney-general-ken-paxton-sues-general-motors-deceptively-collecting-and-selling-drivers-data,,Verified,2025-01-27
CRD-08,TX AG v. Allstate/Arity,2025,Credit,US-TX,Partial,Ongoing,state_AG,government,pending,machine_learning,Telematics data; 45M Americans,,TX AG,https://www.texasattorneygeneral.gov/news/releases/attorney-general-ken-paxton-sues-allstate-and-arity-deceptively-collecting-and-selling-drivers-data,,Verified,2025-01-27
CRD-09,Chicco v. GM/LexisNexis,2024,Credit,US-FL,Partial,Ongoing,private_class,private_counsel,pending,machine_learning,OnStar data sharing class action; FCRA and FL privacy claims,Chicco v. General Motors,S.D. Fla.,https://www.insurancebusinessmag.com/us/news/technology/gm-lexisnexis-face-class-action-over-telematics-insurance-data-collection-481325.aspx,https://www.repairerdrivennews.com/2024/03/29/data-privacy-suit-filed-against-gm-lexisnexis-and-onstar-following-nyt-investigation/,Verified,2025-01-27
CRD-10,FTC v. Grubhub,2024,Credit,US-Federal,Full,Achieved,federal_agency,government,monetary,rule_based,$25M; hidden fees,,FTC Order,https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-compels-grubhub-stop-cheating-diners-and-workers,,Verified,2025-01-27
CRD-11,DoorDash Illinois,2024,Credit,US-IL,Full,Achieved,state_AG,government,monetary,rule_based,$11.3M; tip misrepresentation,,IL AG Settlement,https://www.ilattorneygeneral.gov/PressRoom/2024_09/20240930.html,,Verified,2025-01-27
CRD-12,Lemonade AI Claims,2022,Credit,US-IL,Partial,Achieved,private_class,private_counsel,monetary,machine_learning,$4M BIPA settlement for faceprint data; separate $4.9M privacy settlement,Clarke v. Lemonade Inc.,IL State Court,https://lemonadebipasettlement.com/,https://topclassactions.com/lawsuit-settlements/privacy/lemonade-insurance-company-collects-faceprints-without-permission-says-class-action/,Verified,2025-01-27
CRD-14,Root Insurance Pricing,2022,Credit,US-Federal,None,Ongoing,individual,private_counsel,pending,machine_learning,Note: Securities fraud case found; no specific discrimination case,Kolominsky v. Root Inc.,23-3392 (6th Cir.),https://law.justia.com/cases/federal/appellate-courts/ca6/23-3392/23-3392-2024-04-29.html,,Verified,2025-01-27
CRD-15,Equifax Score Disputes,2022,Credit,US-Federal,Partial,Achieved,federal_agency,government,monetary,statistical_model,CFPB enforcement,,CFPB Enforcement,https://www.consumerfinance.gov/enforcement/actions/equifax/,,Verified,2025-01-27
CRD-16,TransUnion (Spokeo),2021,Credit,US-Federal,Partial,Achieved,private_class,private_counsel,policy_change,statistical_model,FCRA; SCOTUS Article III standing ruling,TransUnion v. Ramirez,20-297 (SCOTUS),https://www.supremecourt.gov/opinions/20pdf/20-297_4g25.pdf,,Verified,2025-01-27
CRD-19,CFPB v. Bank of America,2023,Credit,US-Federal,Partial,Achieved,federal_agency,government,monetary,rule_based,$250M+; fees,,CFPB/OCC Enforcement,https://www.consumerfinance.gov/about-us/newsroom/bank-of-america-for-illegally-charging-junk-fees-withholding-credit-card-rewards-opening-fake-accounts/,https://www.consumerfinance.gov/enforcement/actions/bank-of-america-n-a-fees/,Verified,2025-01-27
CRD-20,CFPB v. Apple/Goldman,2024,Credit,US-Federal,Partial,Achieved,federal_agency,government,monetary,machine_learning,$89M; dispute handling,,CFPB Enforcement,https://www.consumerfinance.gov/enforcement/actions/apple-goldman-sachs-apple-card/,,Verified,2025-01-27
CRD-21,CFPB v. TD Bank,2024,Credit,US-Federal,Partial,Achieved,federal_agency,government,monetary,statistical_model,$28M; credit practices,,CFPB Enforcement,https://www.consumerfinance.gov/enforcement/actions/td-bank-na/,,Verified,2025-01-27
CRD-22,FTC v. DoNotPay,2024,Credit,US-Federal,Partial,Achieved,federal_agency,government,injunctive,machine_learning,False AI lawyer claims,,FTC Settlement,https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-takes-action-against-donotpay-providing-artificial-lawyer,,Verified,2025-01-27
CRD-23,FTC v. Evolv,2024,Credit,US-Federal,Partial,Achieved,federal_agency,government,injunctive,machine_learning,Unsubstantiated AI weapon detection claims,,FTC Settlement,https://www.ftc.gov/news-events/news/press-releases/2024/11/ftc-takes-action-against-evolv-technologies-unsubstantiated-claims-about-ai-based-weapons-detection,,Verified,2025-01-27
CRD-24,FTC v. IntelliVision,2024,Credit,US-Federal,Full,Achieved,federal_agency,government,injunctive,machine_learning,False bias-free facial recognition claims,,FTC Settlement,https://www.ftc.gov/news-events/news/press-releases/2024/12/ftc-takes-action-against-intellivision-technologies-deceptive-claims-about-its-facial-recognition,,Verified,2025-01-27
CRD-25,GM/OnStar (FTC),2024,Credit,US-Federal,Full,Achieved,federal_agency,government,injunctive,machine_learning,5-year data sharing ban,,FTC Order,https://www.ftc.gov/news-events/news/press-releases/2025/01/ftc-takes-action-against-general-motors-sharing-drivers-precise-location-driving-behavior-data,,Verified,2025-01-27
CRD-26,CJEU SCHUFA (Germany),2023,Credit,EU,Partial,Achieved,individual,public_interest,policy_change,statistical_model,GDPR Article 22 ruling; automated scoring is ADM,SCHUFA Holding AG,C-634/21 (CJEU),https://curia.europa.eu/juris/document/document.jsf?docid=280426&mode=lst&pageIndex=0&dir=&occ=first&part=1&text=&doclang=EN&cid=1234567,,Verified,2025-01-27
CRD-27,Patel v. Facebook (BIPA),2022,Credit,US-IL,Full,Achieved,private_class,private_counsel,monetary,machine_learning,$650M biometric settlement,Patel v. Facebook,IL Federal Court,https://www.reuters.com/article/us-facebook-privacy-idUSKBN2AE0RJ/,,Verified,2025-01-27
CRD-28,Navy Federal Credit Union,2024,Credit,US-Federal,Partial,Ongoing,federal_agency,government,pending,machine_learning,50%+ Black applicant rejection rate; CFPB/CNN investigation,,CFPB/Investigation,https://www.cnn.com/2023/12/14/business/navy-federal-credit-union-investigation/,,Verified,2025-01-27
CRD-30,GEICO Pricing Algorithm,2022,Credit,US-IL,Partial,Ongoing,private_class,private_counsel,pending,machine_learning,Race discrimination class action; survived partial MTD,,N.D. Ill.,https://www.bigclassaction.com/lawsuit/geico_race_classaction.php,https://consumercal.org/geico-pays-6m-to-settle-insurance-discrimination-claim/,Verified,2025-01-27
CRD-31,Hamburg DPA v. Financial Services Company,2025,Credit,Germany,Full,Achieved,federal_agency,government,monetary,machine_learning,€492K fine for failing to explain algorithmic credit card decisions; GDPR Article 22 violation; company failed to provide meaningful information about logic involved in automated decisions,,Hamburg DPA,https://datenschutz-hamburg.de/,https://www.biometricupdate.com/,Verified,2025-12-27
CRD-32,CK v. Dun & Bradstreet Austria (CJEU C-203/22),2025,Credit,EU,Full,Achieved,individual,public_interest,policy_change,statistical_model,LANDMARK CJEU RULING Feb 2025: Controllers must provide meaningful information about logic involved in automated decisions; trade secrets do not justify blanket refusal of transparency; builds on 2023 SCHUFA decision; binding EU precedent for algorithmic transparency,CJEU C-203/22,C-203/22 (CJEU),https://curia.europa.eu/juris/liste.jsf?num=C-203/22,,Verified,2025-12-27
HOU-17,DC AG v. RealPage,2023,Housing,US-DC,Partial,Ongoing,state_AG,government,pending,machine_learning,DC Attorney General antitrust action against RealPage algorithmic pricing; filed November 2023; claims RealPage YieldStar facilitates price-fixing among landlords; first state AG case against RealPage,District of Columbia v. RealPage,2023-CAB-6762 (D.C. Super. Ct.),https://oag.dc.gov/release/ag-schwalb-sues-realpage-and-10-major-corporate,https://www.reuters.com/legal/litigation/dc-sues-realpage-over-rent-pricing-algorithm-2023-11-01/,Verified,2025-12-27
HOU-19,Multi-State v. Greystar (RealPage Settlement),2025,Housing,US-Federal,Partial,Achieved,state_AG,government,monetary,machine_learning,Multi-state settlement with Greystar over RealPage algorithmic pricing use; Greystar agreed to discontinue use of RealPage revenue management software; part of broader state enforcement against RealPage ecosystem,,Multi-state Settlement,https://www.axios.com/2025/01/15/greystar-realpage-settlement-rent-algorithm,https://www.publicsource.org/realpage-antitrust-rent-pricing-lawsuit-settlement/,Verified,2025-12-27
HOU-20,In re RealPage Rental Software Antitrust Litigation (Tenant Class),2025,Housing,US-Federal,Partial,Achieved,private_class,private_counsel,monetary,machine_learning,$141M preliminary settlement with landlord defendants in tenant class action; largest algorithmic price-fixing settlement; covers claims against Cortland Camden Greystar and others; RealPage litigation continues,In re RealPage Inc. Rental Software Antitrust Litigation,3:23-md-03071 (M.D. Tenn.),https://www.reuters.com/legal/realpage-landlords-agree-141-million-rent-price-fixing-settlement-2025-01-10/,https://www.law360.com/articles/2249845/realpage-landlords-ink-141m-deal-in-rent-pricing-mdl,Verified,2025-12-27
HOU-22,EPIC v. Airbnb (FTC Complaint),2020,Housing,US-Federal,None,Denied,nonprofit,public_interest,none,machine_learning,EPIC FTC complaint challenging Airbnb trustworthiness scoring algorithm; alleged unfair and deceptive practices; FTC did not take enforcement action; scores used for host/guest matching,,FTC Complaint,https://epic.org/documents/in-re-airbnb-inc/,https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements,Verified,2025-12-27
EMP-36,EPIC v. HireVue (FTC Complaint),2019,Employment,US-Federal,None,Denied,nonprofit,public_interest,none,machine_learning,EPIC FTC complaint challenging HireVue AI video interview analysis; alleged unfair and deceptive practices for analyzing facial expressions and voice; FTC did not take enforcement action; led to HireVue discontinuing facial analysis in 2021,,FTC Complaint,https://epic.org/documents/in-re-hirevue/,https://www.washingtonpost.com/technology/2019/10/22/ai-hiring-face-scanning-algorithm-increasingly-decides-whether-you-deserve-job/,Verified,2025-12-27
PLT-01,Gonzalez v. Google LLC,2023,Platform Liability,US-Federal,Full,Denied,individual,private_counsel,none,machine_learning,SCOTUS considered claims tied to YouTube recommendations in ATA/Section 230 posture; case ultimately resolved without narrowing Section 230 in merits opinion,598 U.S. ___ (2023),No. 21-1333 (SCOTUS),https://www.supremecourt.gov/opinions/22pdf/21-1333_6j7a.pdf,https://www.supremecourt.gov/docket/docketfiles/html/public/21-1333.html,Verified,2025-12-27
PLT-02,Twitter Inc. v. Taamneh,2023,Platform Liability,US-Federal,Full,Denied,individual,private_counsel,none,machine_learning,SCOTUS addressed “aiding and abetting” liability allegations involving recommendation algorithms; unanimous opinion rejecting pleaded theory under ATA aiding-and-abetting standard,598 U.S. ___ (2023),No. 21-1496 (SCOTUS),https://www.supremecourt.gov/opinions/22pdf/21-1496_d18f.pdf,https://www.law.cornell.edu/supremecourt/text/21-1496,Verified,2025-12-27
PLT-03,Force v. Facebook Inc.,2019,Platform Liability,US-Federal,Full,Denied,private_class,private_counsel,none,machine_learning,2nd Cir held Section 230 barred claims including those challenging Facebook’s friend/connection recommendations as publisher functions,Force v. Facebook Inc.,934 F.3d 53 (2d Cir. 2019),No. 18-397 (2d Cir.),https://www.supremecourt.gov/DocketPDF/19/19-859/121682/20191106191715669_ForceApplicOpinions.pdf,https://cite.case.law/f3d/934/53/,Verified,2025-12-27
PLT-04,Dyroff v. The Ultimate Software Group Inc.,2019,Platform Liability,US-Federal,Full,Denied,individual,private_counsel,none,machine_learning,9th Cir held Section 230 barred claims tied to Experience Project’s recommendations/notifications and content organization,934 F.3d 1093 (9th Cir. 2019),No. 18-15175 (9th Cir.),https://cdn.ca9.uscourts.gov/datastore/opinions/2019/08/20/18-15175.pdf,https://law.justia.com/cases/federal/appellate-courts/ca9/18-15175/18-15175-2019-08-20.html,Verified,2025-12-27
PLT-05,M.P. v. Meta Platforms Inc.,2025,Platform Liability,US-Federal,Full,Denied,individual,private_counsel,none,machine_learning,4th Cir held Section 230 barred state tort claims attacking Facebook’s recommendation algorithm design/sorting/distribution of third-party content,M.P. v. Meta Platforms Inc.,No. 23-1880 (4th Cir. Feb. 4, 2025),2:22-cv-03830-RMG (D.S.C.),https://www.ca4.uscourts.gov/opinions/231880.P.pdf,,Verified,2025-12-27
